A,,,,,,,,
English,,,,,,Indonesia,Local,
abrasion (n)                                                                                                                                                                                                                                                                                                                                           /əˈbreɪ.ʒən/,,,,,,"aus, luka, lecet",aus,
,,,,,,,,
,,,,,,,,
accelerator (n)                                                                                                                                                                                                                                                                                                                                        /əkˈseləreɪtə(r)/,,,,,,pedal gas,pedal gas,
,,,,,,,,
,,,,,,,,
accumulator (n)                                                                                                                                                                                                                                                                                                                                       /əˈkjuː.mjə.leɪ.tər/,,,,,,akumulator,baterai,
,,,,,,,,
,,,,,,,,
acid number (n)                                                                                                                                                                                                                                                                                                                                               /ˈæs.ɪd ˈnʌm.bər/,,,,,,"bilangan asam, nilai keasaman pada pelumas/oli","bilangan asam, nilai keasaman pada pelumas/oli",
,,,,,,,,
,,,,,,,,
adhesive (n)                                                                                                                                                                                                                                                                                                                                                           /ədˈhiː.sɪv/,,,,,,perekat,lem,
,,,,,,,,
,,,,,,,,
adjustable spanner (n)                                                                                                                                                                                                                                                                                                                           /əˌdʒʌstəbl ˈspænə(r)/,,,,,,kunci Inggris,kunci Inggris,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure A.1 Adjustable spanner (source: amazon.com),,,,,,,,
,,,,,,,,
,,,,,,,,
adjustable wrench (n)                                                                                                                                                                                                                                                                                                                                                                      /əˌdʒʌstəbl ˈrentʃ/,,,,,,kunci Inggris,kunci Inggris,
,,,,,,,,
,,,,,,,,
airbag (n)                                                                                                                                                                                                                                                                                                                                                             /ˈeə.bæɡ/,,,,,,kantong udara,kantong udara,
,,,,,,,,
,,,,,,,,
air cleaner (n)                                                                                                                                                                                                                                                                                                                                                          /eə(r) ˈkliːnə(r)/,,,,,,pembersih udara,pembersih udara,
,,,,,,,,
,,,,,,,,
Air Conditioning (A/C) (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             /ˈeə kənˌdɪʃ.ən.ɪŋ/,,,,,,pengatur suhu udara,pendingin ruangan,
,,,,,,,,
,,,,,,,,
"air filter (n)
/eə(r)ˈfɪltə(r)/",,,,,,penyaring udara,penyaring udara,
,,,,,,,,
,,,,,,,,
"air flow meter (n)
/eər fləʊ ˈmiː.tər/",,,,,,meter aliran udara,pengukur aliran udara,
,,,,,,,,
,,,,,,,,
airfoil (n)                                                                                                                                                                                                                                                                                                                                                                              /ˈeəfɔɪl /,,,,,,"bentuk penampang sayap, turbin","bentuk penampang sayap, turbin","bentuk penampang sayap, turbin"
,,,,,,,,
,,,,,,,,
air spring (n)                                                                                                                                                                                                                                                                                                                                       /eər sprɪŋ/,,,,,,pegas udara,sok angin,
,,,,,,,,
,,,,,,,,
air spring rear axle (n)                                                                                                                                                                                                                                                                                                                                     /eər sprɪŋ rɪər  ˈæk.səl/,,,,,,suspensi  balon,sok udara,
,,,,,,,,
,,,,,,,,
allen key (n)                                                                                                                                                                                                                                                                                                                                                                  /ˈæl.ən ˌkiː/,,,,,,kunci L,kunci L,
,,,,,,,,
,,,,,,,,
alignment (n)                                                                                                                                                                                                                                                                                                                                                / əˈlaɪnmənt /,,,,,,"deretan, kesejajaran","deretan, kesejajaran, sumbu poros",
,,,,,,,,
,,,,,,,,
alternator (n)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   / ˈɔːltəneɪtə(r) /,,,,,,"dinamo, pengisi daya, generator listrik","dinamo isi, pengisi daya, ampere",
,,,,,,,,
,,,,,,,,
ampere meter (n)                                                                                                                                                                                                                                                                                                                                                     /ˈæm·pɪər ˈmiː.tər/,,,,,,alat ukur arus listrik,alat ukur arus listrik,
,,,,,,,,
,,,,,,,,
auger (n)                                                                                                                                                                                                                                                                                                                                                                    /ˈɔː.ɡər/,,,,,,bor,bor,
,,,,,,,,
,,,,,,,,
axle (n)                                                                                                                                                                                                                                                                                                                                                                                          /ˈæk.səl/,,,,,,"poros, gardan","poros, gardan",
,,,,,,,,
,,,,,,,,
axle hump (n)                                                                                                                                                                                                                                                                                                                                                      /ˈæk.səl hʌmp /,,,,,,bonggol gardan,kepala kambing,
,,,,,,,,
,,,,,,,,
axle shaft (n)                                                                                                                                                                                                                                                                                                                                                        /ˈæk.səl ʃɑːft/,,,,,,poros penggerak,poros penggerak,
,,,,,,,,
B,,,,,,,,
English,,,,,,Indonesia,Local,
back seat (n)                                                                                                                                                                                                                                                                                                                                                         /ˌbæk ˈsiːt/,,,,,,jok belakang,jok belakang,
,,,,,,,,
,,,,,,,,
"back sonar system (n)                                                                                                                                                                                                                                                                                                                                              /bæk ˈsəʊ.nɑːr
ˈsɪs.təm/",,,,,,teknologi sensor parkir,sensor parkir,
,,,,,,,,
,,,,,,,,
backup light (n)                                                                                                                                                                                                                                                                                                                                                         /ˈbæk.ʌp laɪt/,,,,,,"lampu rem, lampu tanda mundur",lampu cadangan,
,,,,,,,,
,,,,,,,,
ball joint (n)                                                                                                                                                                                                                                                                                                                                                                                                      /ˌbɔːl dʒɔɪnt/,,,,,,bola penghubung,bola penghubung,
,,,,,,,,
,,,,,,,,
ball and socket joints (n)                                                                                                                                                                                                                                                                                                                                  /ˌbɔːl.ənˈsɒk.ɪt dʒɔɪnt/,,,,,,sambungan bola dan soket,sambungan bola dan soket,
,,,,,,,,
,,,,,,,,
bar (n)                                                                                                                                                                                                                                                                                                                                                                        /bɑːr/,,,,,,satuan tekanan,satuan tekanan,
,,,,,,,,
,,,,,,,,
barometric pressure (n)                                                                                                                                                                                                                                                                                                                                                                   /ˌbær.əʊˈmet.rɪk ˈpreʃ.ər/,,,,,,tekanan barometric,tekanan udara,
,,,,,,,,
,,,,,,,,
battery positive voltage (B+) (n)                                                                                                                                                                                                                                                                                                                 /ˈbæt.ər.i ˈpɒz.ə.tɪv ˈvɒl.tɪdʒ/,,,,,,tegangan baterai positif,kutub positif baterai,
,,,,,,,,
,,,,,,,,
bell crank (n)                                                                                                                                                                                                                                                                                                                                                     /bel kræŋk/,,,,,,engkol yang mengubah gerak melalui sudut,engkol bel,
,,,,,,,,
,,,,,,,,
bearing (n)                                                                                                                                                                                                                                                                                                                                                   /beə.rɪŋ/,,,,,,bantalan,klahar,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Figure B.1 Bearing (source: GridOto.com),,,,,,,,
,,,,,,,,
bearing cup (n)                                                                                                                                                                                                                                                                                                                                                       /ˈbeərɪŋ kʌp/,,,,,,mangkok pelor,tempat pelor,
,,,,,,,,
,,,,,,,,
bearing journal (n)                                                                                                                                                                                                                                                                                                                                       /ˈbeə.rɪŋ ˈdʒɜː.nəl/,,,,,,bantalan poros engkol,kruk as,
,,,,,,,,
,,,,,,,,
balance (n)                                                                                                                                                                                                                                                                                                                                                       /ˈbæləns/,,,,,,penyeimbang,penyeimbang,
,,,,,,,,
,,,,,,,,
battery (n)                                                                                                                                                                                                                                                                                                                                                        /ˈbætəri/,,,,,,aki,aki,
,,,,,,,,
,,,,,,,,
belt (n)                                                                                                                                                                                                                                                                                                                                                                 /ˈbelt/,,,,,,sabuk,sabuk,
,,,,,,,,
,,,,,,,,
belt drive (n)                                                                                                                                                                                                                                                                                                                                                    /ˈbelt draɪv /,,,,,,"sabuk penghubung, tali puli","sabuk penghubung, tali puli",
,,,,,,,,
,,,,,,,,
belted radial tire (n)                                                                                                                                                                                                                                                                                                                         /beltuhd ˈreɪ·di·əl ˈtɑɪər/,,,,,,ban radial bersabuk,lapisan ban radial,
,,,,,,,,
,,,,,,,,
bold (n)                                                                                                                                                                                                                                                                                                                                                              /bəʊld/,,,,,,baut,baut,
,,,,,,,,
,,,,,,,,
bonnet (n)                                                                                                                                                                                                                                                                                                                                                          /ˈbɒnɪt/,,,,,,penutup mesin,penutup mesin,
,,,,,,,,
,,,,,,,,
bosch pump (n)                                                                                                                                                                                                                                                                                                                                      /bosh pʌmp/,,,,,,pompa bosch,bospom,
,,,,,,,,
,,,,,,,,
block cylinder (n)                                                                                                                                                                                                                                                                                                                                   /blɒk ˈsɪlɪndə® /,,,,,,blok silinder,blok silinder,
,,,,,,,,
,,,,,,,,
blow-by (n)                                                                                                                                                                                                                                                                                                                                                 /bləʊ baɪ/,,,,,,proses kebocoran kompresi melalui ring piston,proses kebocoran kompresi melalui ring piston,
,,,,,,,,
,,,,,,,,
blower (n)                                                                                                                                                                                                                                                                                                                                                          /ˈbləʊə(r)/,,,,,,kipas pendingin,kipas pendingin,
,,,,,,,,
,,,,,,,,
bracket (n)                                                                                                                                                                                                                                                                                                                                                     /ˈbræk.ɪt/,,,,,,dudukan,dudukan,
,,,,,,,,
,,,,,,,,
brake (n)                                                                                                                                                                                                                                                                                                                                                       /breɪk/,,,,,,rem,rem,
,,,,,,,,
,,,,,,,,
